date,M1,M2,M3,M4,M6,FS1
2001-02,33.77367538,NA,NA,NA,NA,NA
2001-03,13.75825077,NA,NA,NA,NA,NA
2001-04,33.77367538,NA,NA,NA,NA,NA
2001-05,13.72929031,1.984018052,NA,NA,NA,NA
2001-06,17.37555401,2.575477719,NA,NA,NA,NA
2001-07,15.8904773,3.105346942,NA,NA,NA,NA
2001-08,18.18657114,2.33294669,NA,NA,NA,NA
2001-09,24.38285089,5.25448784,NA,NA,NA,NA
2001-10,61.13247256,11.55508581,NA,NA,NA,NA
2001-11,58.59677082,5.573993567,NA,NA,NA,NA
2001-12,42.74450104,9.274073644,NA,NA,NA,NA
2002-01,134.0441553,15.92388298,NA,NA,NA,NA
2002-02,174.2192069,18.43224513,NA,NA,NA,NA
2002-03,68.39811123,7.720923275,NA,NA,NA,NA
2002-04,58.7170331,6.295092179,NA,NA,NA,NA
2002-05,38.73707206,5.830170322,NA,NA,NA,NA
2002-06,27.98788115,4.586810831,NA,NA,NA,NA
2002-07,12.35388716,2.459971191,55.88937248,NA,NA,NA
2002-08,13.27184538,2.256313782,40.04334407,NA,NA,NA
2002-09,13.4347439,2.122848344,66.94666453,NA,NA,NA
2002-10,35.10674538,8.794961356,55.88937248,NA,NA,NA
2002-11,84.47776298,13.95513476,40.1225171,NA,NA,NA
2002-12,47.12511412,13.24578721,68.42171836,NA,NA,NA
2003-01,141.4613045,14.09095959,143.3932566,NA,NA,29.88883439
2003-02,90.7274656,9.379053086,145.0851474,NA,NA,42.87279478
2003-03,38.5696412,5.184422188,88.57043315,NA,NA,29.08012806
2003-04,48.88811773,4.520771628,39.73934597,7.678497951,NA,14.56139032
2003-05,30.66301893,5.445330841,39.78021193,20.56075535,NA,13.48029662
2003-06,17.19010631,3.225555116,30.06374597,10.16722506,NA,12.45759293
2003-07,15.40883053,3.282822329,16.43082659,6.445631519,NA,8.562574552
2003-08,37.43066617,1.833204742,13.11017602,7.300492079,NA,4.297892969
2003-09,48.32239283,2.878525251,25.65612887,17.77185364,NA,6.577877053
2003-10,106.5948953,7.9181678,40.90890064,24.54503615,NA,10.13917096
2003-11,68.51420877,11.90304887,103.9781886,35.36716163,NA,34.26629096
2003-12,138.4332077,10.1420296,59.34747782,30.47055535,NA,18.97172279
2004-01,85.66539825,11.53916035,119.9882074,68.90818731,NA,38.6765618
2004-02,111.9124022,8.508925245,64.34913191,66.08350601,NA,25.04617377
2004-03,64.55178673,9.061749652,100.0626867,46.03436022,NA,31.31789141
2004-04,38.50543972,6.370017035,58.63472759,27.73855402,NA,15.51355341
2004-05,27.57769697,1.916732533,32.08634127,16.62654966,NA,6.644138203
2004-06,23.18424878,3.416831243,21.49562661,11.89242755,NA,8.440865155
2004-07,32.27083761,2.778591843,19.09731746,10.10871877,NA,4.780879823
2004-08,70.54886577,4.765318747,24.23968495,8.144107132,NA,9.390011937
2004-09,69.51287328,7.835168487,61.47098085,32.48406381,NA,18.37031208
2004-10,62.74894543,11.90412607,70.7468631,24.89131509,NA,26.89527262
2004-11,174.0442708,5.86970129,42.57055748,33.95716625,NA,9.820104032
2004-12,196.2585698,9.711785597,135.3013704,81.64243701,NA,26.14264772
2005-01,66.5593377,18.04508264,164.1891597,89.14670865,NA,48.66968613
2005-02,51.19415052,8.523186604,53.96199767,34.7514757,NA,11.23668264
2005-03,49.76274504,5.831394399,41.62484202,16.94413519,NA,17.94510758
2005-04,23.65442608,5.686779083,43.9123714,18.6379459,NA,13.75152827
2005-05,17.25513527,4.850411006,25.04472209,10.27005443,NA,12.43361223
2005-06,18.38877168,2.26102688,16.33894838,11.80168004,NA,7.297650402
2005-07,27.14988074,2.267552627,15.78027345,15.88942303,NA,4.910088626
2005-08,45.95282708,1.795957937,21.12639115,25.2223459,NA,5.120216625
2005-09,71.07423998,4.779703114,40.39883853,34.5297439,NA,14.7517021
2005-10,98.04409474,8.267000492,65.34348598,37.43458868,NA,26.43028786
2005-11,60.428918,9.384131437,88.11024413,74.11028859,NA,25.375269
2005-12,93.11752671,6.579438786,53.87961851,47.17689015,NA,15.73146162
2006-01,66.48454677,7.271475198,91.42098371,67.42494594,NA,31.50860887
2006-02,57.91079958,7.5217258,67.30887386,47.29649753,NA,27.44563215
2006-03,46.2125453,10.81702556,71.52608501,31.93005183,NA,32.4001333
2006-04,33.56716491,3.05535452,39.29138615,45.82301105,NA,7.520420766
2006-05,19.46441955,4.375569299,35.35791657,17.56679091,NA,18.60127631
2006-06,20.34970487,1.267951964,17.39792347,15.78159488,NA,5.11502466
2006-07,18.0046614,1.396111844,20.33774257,12.6747521,NA,6.874283228
2006-08,49.57725479,2.576056671,9.434358402,17.74706806,NA,4.467820396
2006-09,51.01400998,4.889307062,26.1571527,21.93139823,52.71162978,4.025875033
2006-10,120.137454,8.912848079,24.25166008,33.38157307,76.83014191,3.932034397
2006-11,168.3365533,10.26776143,57.02390399,94.40786177,149.5004964,4.026619445
2006-12,174.2825282,11.69340278,86.26528565,104.3613036,206.0233118,4.244059
2007-01,149.1553468,14.62139819,80.887838,138.0150804,184.7819876,4.553692484
2007-02,163.9420997,7.224840422,82.68911582,76.56927962,183.5475355,4.940030096
2007-03,39.84748433,7.638459081,60.32759178,100.7353783,152.3003853,5.394972073
2007-04,64.93006157,1.877284467,10.3348613,19.62307094,32.79089927,5.914344212
2007-05,21.84511804,3.018065781,21.87626874,15.07610891,49.98771113,6.496204469
2007-06,50.57802328,2.892042546,10.17259677,13.32752606,22.07323996,7.139951795
2007-07,33.77367538,2.785583188,19.80352095,17.13999874,20.81386196,7.845828132
2007-08,NA,2.819705987,19.45613661,26.02990549,26.9733314,8.614625898
2007-09,NA,3.297313978,23.66136344,42.12848733,44.59346767,9.447508804
2007-10,NA,2.839548202,36.91940552,50.33458639,68.93971139,10.34589807
2007-11,NA,6.227172168,35.20309088,66.02837613,67.5896585,11.31139791
2007-12,NA,13.27207051,167.9269118,141.5579725,245.7348686,62.95597356
2008-01,NA,14.17028251,167.086672,148.8624424,208.240503,70.19443543
2008-02,NA,7.927390852,87.63339349,116.9712104,146.7601205,35.37277767
2008-03,NA,9.419857985,126.5075279,126.9155037,170.2660377,NA
2008-04,NA,4.53387265,41.97914922,40.01049641,75.5444698,NA
2008-05,NA,2.14338837,14.38468973,11.65972191,72.58033686,NA
2008-06,NA,2.479169034,23.46473693,18.5062949,69.8575988,NA
2008-07,NA,2.489741835,18.88958154,12.75099957,67.35469664,NA
2008-08,NA,3.59071128,33.52991191,24.47686346,65.05241153,NA
2008-09,NA,3.85050077,36.52558455,38.72727536,62.93357698,NA
2008-10,NA,10.82464315,84.66222891,123.5445725,60.98283081,NA
2008-11,NA,7.383672335,66.22275014,86.54124536,59.18640058,NA
2008-12,NA,5.347796057,105.000813,106.2278146,57.53191771,NA
2009-01,NA,11.42335613,179.3876762,147.5822926,56.00825589,NA
2009-02,NA,12.07993108,46.46594311,57.08554535,54.6053904,NA
2009-03,NA,11.71268419,82.3751705,101.8477059,53.31427523,NA
2009-04,NA,10.70354928,41.39966023,84.10576449,52.12673569,NA
2009-05,NA,9.411557092,50.86641221,47.65026419,51.03537408,NA
2009-06,NA,8.137973285,12.29550763,9.866514894,50.033487,NA
2009-07,NA,7.118066163,25.16301212,18.21464697,49.11499239,NA
2009-08,NA,6.53109654,34.15248563,32.12085917,48.27436528,NA
2009-09,NA,6.521843263,28.78458627,47.66639261,47.50658093,NA
2009-10,NA,7.229240733,36.71520123,41.12268615,46.80706457,NA
2009-11,NA,17.08939744,170.4407432,126.4870584,167.861895,NA
2009-12,NA,8.503089094,78.55491326,81.60816778,123.7387074,NA
2010-01,NA,8.157913112,65.75565985,61.17564407,91.85302754,NA
2010-02,NA,3.706714484,43.34044277,45.56911512,70.54492571,NA
2010-03,NA,3.551414236,33.99076013,36.98547781,54.63016693,NA
2010-04,NA,2.199413,25.81344798,33.49801421,39.40406031,NA
2010-05,NA,1.884305897,16.36414705,19.81914037,20.71290224,NA
2010-06,NA,1.233109964,16.93220167,19.30743127,21.38275473,NA
2010-07,NA,2.660068037,27.58114199,19.62240418,33.34946918,NA
2010-08,NA,2.203308475,13.00678714,19.84348069,16.03249462,NA
2010-09,NA,3.208757873,32.93776195,19.98151564,50.78726291,NA
2010-10,NA,7.035260913,49.04193129,20.0468208,67.03832827,NA
2010-11,NA,6.840450563,80.04643358,20.04872764,108.9740667,NA
2010-12,NA,6.187700459,30.53112173,19.99509475,54.567313,NA
2011-01,NA,5.299721452,48.43888929,19.89172725,72.25584938,NA
2011-02,NA,4.359893341,192.7940156,19.74166204,219.8748902,NA
2011-03,NA,1.584420214,43.20047661,19.54425429,59.21643794,NA
2011-04,NA,2.127575822,50.21516467,19.29397369,65.23014039,NA
2011-05,NA,5.537651742,60.8513345,18.97878183,71.06488385,NA
2011-06,NA,2.191729804,28.17807019,18.57790855,38.43960363,NA
2011-07,NA,1.372092791,18.13792592,18.05876808,21.01433099,NA
2011-08,NA,1.837724887,16.809457,19.31629186,22.20062494,NA
2011-09,NA,6.183858187,78.02681345,72.04353972,77.7341623,NA
2011-10,NA,7.852991586,63.12637406,86.72717094,88.50796238,NA
2011-11,NA,11.69112252,107.8619612,95.09662816,129.0086486,NA
2011-12,NA,12.79541829,174.1815932,247.5195606,206.417293,NA
2012-01,NA,7.946378862,138.8001421,149.9359233,123.9583102,NA
2012-02,NA,6.822524276,87.30697338,78.17613345,68.2449345,NA
2012-03,NA,6.168692582,47.36587523,66.69097508,90.70683023,NA
2012-04,NA,5.152630604,24.30214631,58.50862619,57.56992797,NA
2012-05,NA,2.058650446,15.14543602,52.76329304,30.68222218,NA
2012-06,NA,3.387082324,17.94255335,48.82268088,21.05059866,NA
2012-07,NA,2.079179279,15.5485994,46.21308671,20.71840641,NA
2012-08,NA,3.767935837,26.9647447,44.56273473,26.77763978,NA
2012-09,NA,4.589835792,34.83031884,43.55912891,51.96779744,NA
2012-10,NA,5.035606341,43.1696265,42.91777141,63.08729722,NA
2012-11,NA,8.070790306,92.54131738,42.36110988,122.3418761,NA
2012-12,NA,8.610228207,115.8304771,41.60793884,119.7076068,NA
2013-01,NA,7.716862629,130.1038269,40.37455897,175.8845156,NA
2013-02,NA,6.02422609,126.2659538,38.38960333,121.4609633,NA
2013-03,NA,4.19643006,140.1419334,35.42430245,85.94407597,NA
2013-04,NA,2.678629589,159.50178,31.33869874,102.907283,NA
2013-05,NA,1.642073798,184.7230871,26.14139832,73.57713187,NA
2013-06,NA,1.063655744,213.325483,20.05510722,27.23140328,NA
2013-07,NA,0.860185846,241.4676199,10.24440455,12.95712214,NA
2013-08,NA,1.037057538,263.9426137,29.77715634,32.53515421,NA
2013-09,NA,2.763150006,274.730842,45.80576106,41.66132097,NA
2013-10,NA,7.536501988,268.1821948,44.12861686,59.10172719,NA
2013-11,NA,4.711562164,240.7557152,118.8158185,96.77072448,NA
2013-12,NA,18.21185534,193.0236489,138.1749572,239.1170889,NA
2014-01,NA,12.18614346,131.3492547,143.3810674,204.1781974,NA
2014-02,NA,26.69931673,68.37455079,136.878695,113.1287622,NA
2014-03,NA,25.97518873,79.58526154,121.2332131,50.82557098,NA
2014-04,NA,23.69080241,36.42290992,37.53984232,34.32971163,NA
2014-05,NA,20.82907532,27.73758626,29.32806685,39.31061195,NA
2014-06,NA,17.80639077,9.842965159,7.684950046,12.43056128,NA
2014-07,NA,14.91049838,12.30246601,7.89004486,14.28056214,NA
2014-08,NA,12.32745824,24.24856574,11.43025052,19.59993569,NA
2014-09,NA,10.15802573,32.80158128,19.26871888,28.12264154,NA
2014-10,NA,8.432508196,32.58660092,33.83993116,40.04062014,NA
2014-11,NA,6.962691539,43.68638742,67.95053966,127.3753992,NA
2014-12,NA,8.413383053,147.2363094,100.2355046,317.1975028,NA
2015-01,NA,13.5081156,215.9555478,129.3435931,270.7580814,NA
2015-02,NA,5.619313368,112.4015176,149.980286,200.4967502,NA
2015-03,NA,6.482045192,119.9364209,156.5648542,141.4568195,NA
2015-04,NA,2.112927807,36.369029,154.1573868,95.92476715,NA
2015-05,NA,3.722865783,40.76324593,152.4023719,62.08954216,NA
2015-06,NA,2.159413419,24.90720556,151.1091314,36.65301207,NA
2015-07,NA,2.513006454,22.82507286,150.0753522,23.91636066,NA
2015-08,NA,2.03585129,27.30768734,149.0910402,30.60477309,NA
2015-09,NA,2.080051441,19.94644238,147.9430577,34.1101885,NA
2015-10,NA,3.052750176,43.11218378,146.4202657,60.31685865,NA
2015-11,NA,10.91837309,135.4956258,144.3192846,147.1318881,NA
2015-12,NA,26.4735958,267.7670413,141.4508728,223.1448167,NA
2016-01,NA,12.95778762,197.6484146,137.6469063,176.3201644,NA
2016-02,NA,9.024605,93.18024652,132.7679114,213.8123403,NA
2016-03,NA,4.416795376,32.61360676,126.7110649,276.3713089,NA
2016-04,NA,4.485572003,13.42149352,119.4185207,36.04032046,NA
2016-05,NA,2.155576484,12.85468518,110.8858438,24.4992232,NA
2016-06,NA,1.227435569,17.11784438,101.1702226,23.29670884,NA
2016-07,NA,1.664371426,18.83238401,90.39798338,22.73451141,NA
2016-08,NA,1.977532844,27.22793466,78.77071516,39.2335512,NA
2016-09,NA,4.594179015,55.62009036,66.56902435,76.64886285,NA
2016-10,NA,3.627108244,41.93896592,39.72105558,68.27609408,NA
2016-11,NA,5.832595737,46.51627247,58.84804293,49.94391112,NA
2016-12,NA,8.696859427,22.75277137,156.26591,62.32587192,NA
2017-01,NA,6.009298937,36.74749649,94.28036921,99.28956488,NA
2017-02,NA,10.69379961,52.00906662,72.12964787,118.1654721,NA
2017-03,NA,4.781448446,50.10380545,57.37079308,99.29266174,NA
2017-04,NA,1.821582914,26.40271362,47.4994581,38.06004849,NA
2017-05,NA,2.004539078,21.45449947,40.88321741,34.70776612,NA
2017-06,NA,3.337457139,33.25743862,36.43515296,35.23354299,NA
2017-07,NA,1.443959327,118.0473554,33.41829706,24.78930295,NA
2017-08,NA,2.281653943,158.4598835,31.32500664,22.2549628,NA
2017-09,NA,4.88171557,100.0029152,29.8006495,69.10309847,NA
2017-10,NA,5.45305791,56.94205238,28.59424331,64.47981963,NA
2017-11,NA,5.685027225,5.925897991,27.52590014,87.95288772,NA
2017-12,NA,7.041864726,106.3484293,26.46498233,113.7334287,NA
2018-01,NA,18.69919827,205.8502275,25.31521987,246.3620902,NA
2018-02,NA,12.99352519,206.2374315,24.004432,209.6700609,NA
2018-03,NA,9.848443839,84.20602806,22.47734179,83.9709168,NA
2018-04,NA,4.388247516,62.35286517,20.69049784,80.73712609,NA
2018-05,NA,1.991106115,37.41175847,18.6086498,42.69710796,NA
2018-06,NA,1.763204186,13.32408791,16.20213796,18.01324424,NA
2018-07,NA,1.665422067,13.52892234,13.99952626,17.11591467,NA
2018-08,NA,1.641130133,23.07129417,23.99375779,32.18266786,NA
2018-09,NA,1.648040718,37.00639769,49.1665819,50.29759277,NA
2018-10,NA,1.653802014,60.94151093,82.34488505,74.21863023,NA
2018-11,NA,1.645955357,117.3092248,85.09588163,103.9637956,NA
2018-12,NA,1.630479538,120.4460693,83.37547506,140.3087049,NA
2019-01,NA,1.613545817,72.91788112,77.03490707,105.8487287,NA
2019-02,NA,1.601730048,84.57477927,67.18876201,176.8987747,NA
2019-03,NA,1.602155473,82.94059061,54.72385399,146.2923445,NA
2019-04,NA,1.622595455,57.33610974,40.80891808,71.15557731,NA
2019-05,NA,1.671552155,18.19859279,20.39413272,31.72903257,NA
2019-06,NA,1.758320296,14.56555122,17.60193825,22.02706884,NA
2019-07,NA,1.893041407,12.68773688,13.56440862,15.38151462,NA
2019-08,NA,3.240416199,26.95649709,30.69075671,35.99708415,NA
2019-09,NA,2.996824576,41.26969747,43.74118156,50.30535491,NA
2019-10,NA,6.656233793,62.97358057,70.63115382,101.0525837,NA
2019-11,NA,9.066896107,100.0883945,63.1475035,117.0031232,NA
2019-12,NA,10.74916872,149.2903312,139.865968,162.6994263,NA
2020-01,NA,9.328481133,126.1361518,188.8738363,189.3794249,NA
2020-02,NA,18.13015813,33.64470775,285.621425,131.9089287,NA
2020-03,NA,6.201495404,16.49955405,118.8826896,48.01781514,NA
2020-04,NA,2.260549893,24.60578521,28.4572352,24.91419076,NA
2020-05,NA,2.134706992,26.48557269,27.19088157,33.55387232,NA
2020-06,NA,2.767665977,23.18308167,25.61969714,30.38574954,NA
2020-07,NA,1.850731214,20.57800397,21.57922566,24.88693429,NA
2020-08,NA,3.180872298,19.6761199,16.65014102,19.36909067,NA
2020-09,NA,3.346551671,183.7500711,46.58167283,50.95777233,NA
2020-10,NA,8.104315545,289.2734371,75.85277158,112.2194954,NA
2020-11,NA,8.811493664,99.07144228,109.7387235,119.2019261,NA
2020-12,NA,10.69065943,126.2785651,128.8481927,176.8132811,NA
2021-01,NA,6.515217013,51.93126562,62.50377988,72.18736314,NA
2021-02,NA,16.82783836,158.8353398,108.5248957,206.4016185,NA
2021-03,NA,4.861008754,68.12676014,78.96832445,90.10676565,NA
2021-04,NA,1.507712175,19.45222838,30.41779758,38.92804399,NA
2021-05,NA,3.194387873,38.98444736,31.74480995,54.50147068,NA
2021-06,NA,1.706145448,17.99682329,22.32297849,22.00846374,NA
2021-07,NA,0.647841987,9.587484845,8.494159531,9.324963431,NA
2021-08,NA,1.602728501,13.35565435,13.07292217,14.42600448,NA
2021-09,NA,0.518570164,6.982090574,5.16808367,8.632370996,NA
